
            DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
	TIME	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z
	FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	0	0	x	x	x	x	x	x	x	x	x
 0 2022-02-16 1645008869.6054118 -9.10E-02 -1.77e-01 1.01e+01 2.02e-02 -1.60e-03 6.39e-03 1.50e-01 4.91e+03 4.41e+03
 0 2022-02-16 1645008869.6064425 -9.10E-02 -1.77e-01 1.01e+01 2.02e-02 -1.60e-03 6.39e-03 1.50e-01 4.91e+03 4.41e+03
 0 2022-02-16 1645008869.615314 -1.20E-01 -4.31e-02 1.00e+01 2.34e-02 -1.44e-02 1.60e-02 1.50e-01 4.91e+03 4.41e+03
 0 2022-02-16 1645008869.615314 -1.77E-01 0.00e+00 9.96e+00 1.76e-02 -1.01e-02 1.49e-02 1.50e-01 4.84e+03 4.41e+03
 0 2022-02-16 1645008869.636913 -1.25E-01 -6.23e-02 1.01e+01 7.99e-03 -4.26e-03 1.49e-02 1.50e-01 4.84e+03 4.11e+03
 0 2022-02-16 1645008869.6379452 -1.05E-01 -5.27e-02 1.01e+01 1.33e-02 -3.73e-03 3.73e-03 1.50e-01 4.84e+03 4.11e+03
 0 2022-02-16 1645008869.66541 -1.48E-01 -1.92e-01 1.02e+01 2.34e-02 -4.26e-03 7.46e-03 1.50e-01 4.72e+03 4.30e+03
 0 2022-02-16 1645008869.666442 -1.10E-01 4.79e-03 1.01e+01 1.44e-02 3.20e-03 1.49e-02 1.50e-01 4.30e+03 4.64e+03
 0 2022-02-16 1645008869.6747196 -1.72E-01 -5.27e-02 1.00e+01 1.86e-02 -6.39e-03 1.86e-02 1.50e-01 4.30e+03 4.64e+03
 0 2022-02-16 1645008869.6757214 -1.25E-01 -4.79e-02 1.01e+01 2.18e-02 -5.33e-04 1.23e-02 1.50e-01 -4.87e+03 4.53e+03
 0 2022-02-16 1645008869.6979496 -1.53E-01 -1.44e-02 1.01e+01 2.34e-02 -9.59e-03 1.44e-02 1.50e-01 4.72e+03 4.30e+03
 0 2022-02-16 1645008869.6979496 -1.77E-01 -7.18e-02 9.93e+00 1.76e-02 -4.79e-03 1.54e-02 1.50e-01 -4.84e+03 4.41e+03
 0 2022-02-16 1645008869.7264335 -1.96E-01 -6.70e-02 1.01e+01 1.65e-02 -1.60e-03 7.46e-03 1.50e-01 -4.84e+03 4.41e+03
 0 2022-02-16 1645008869.7264335 -1.92E-01 -7.18e-02 1.02e+01 1.17e-02 -4.26e-03 1.33e-02 1.50e-01 4.72e+03 4.41e+03
 0 2022-02-16 1645008869.7344282 -7.66E-02 -5.75e-02 1.00e+01 1.49e-02 5.33e-04 2.29e-02 1.50e-01 4.49e+03 4.45e+03
 0 2022-02-16 1645008869.7354426 -5.75E-02 -7.18e-02 1.00e+01 2.08e-02 -7.99e-03 2.66e-03 1.50e-01 4.49e+03 4.45e+03
 0 2022-02-16 1645008869.75795 -1.34E-01 0.00e+00 1.01e+01 1.81e-02 -4.79e-03 1.97e-02 1.50e-01 4.76e+03 4.53e+03
 0 2022-02-16 1645008869.75795 -2.44E-01 -4.79e-03 1.01e+01 2.24e-02 -4.79e-03 1.44e-02 1.50e-01 4.72e+03 4.49e+03
